player,team,club
Gio Reyna,United States,Borussia Dortmund
Tyler Adams,United States,Bournemouth
Kaoru Mitoma,Japan,Brighton
Wataru Endo,Japan,Liverpool
Takefusa Kubo,Japan,Real Sociedad
Takumi Minamino,Japan,Monaco
Nicolas Jackson,Senegal,Chelsea
Kalidou Koulibaly,Senegal,Al Hilal
Sadio Mane,Senegal,Al Nassr
Moussa Diaby,Senegal,Al Ittihad
Moisés Caicedo,Ecuador,Chelsea
Pervis Estupinan,Ecuador,Brighton
Piero Hincapie,Ecuador,Bayer Leverkusen
Luis Diaz,Colombia,Liverpool
Jefferson Lerma,Colombia,Crystal Palace
Luka Modric,Croatia,Real Madrid
Mateo Kovacic,Croatia,Manchester City
Josko Gvardiol,Croatia,Manchester City
Patrik Schick,Czechia,Bayer Leverkusen
Tomas Soucek,Czechia,West Ham
Granit Xhaka,Switzerland,Bayer Leverkusen
Manuel Akanji,Switzerland,Manchester City
Alexander Isak,Sweden,Newcastle United
Dejan Kulusevski,Sweden,Tottenham
Victor Lindelof,Sweden,Manchester United
Erling Haaland,Norway,Manchester City
Martin Odegaard,Norway,Arsenal
Alexander Sorloth,Norway,Atletico Madrid
Mehdi Taremi,Iran,Inter Milan
Sardar Azmoun,Iran,Bayer Leverkusen
Alireza Jahanbakhsh,Iran,Feyenoord
Salem Al-Dawsari,Saudi Arabia,Al Hilal
Hassan Al-Tambakti,Saudi Arabia,Al Hilal
Saud Abdulhamid,Saudi Arabia,Roma
Yassine Bounou,Morocco,Al Hilal
Riyad Mahrez,Algeria,Al Ahli
Youcef Atal,Algeria,Al Nassr
Ismael Bennacer,Algeria,AC Milan
David Alaba,Austria,Real Madrid
Konrad Laimer,Austria,Bayern Munich
Marcel Sabitzer,Austria,Borussia Dortmund
Marko Arnautovic,Austria,Inter Milan
Gustavo Gomez,Paraguay,Palmeiras
Miguel Almiron,Paraguay,Newcastle United
Ronwen Williams,South Africa,Mamelodi Sundowns
Themba Zwane,South Africa,Mamelodi Sundowns
Teboho Mokoena,South Africa,Mamelodi Sundowns
Lyle Foster,South Africa,Burnley
Mathew Ryan,Australia,Roma
Harry Souttar,Australia,Leicester
Ryan Mendes,Cape Verde,Al Nasr
Jovane Cabral,Cape Verde,Spartak Moscow
Gervinho,DR Congo,Al Nassr
Chancel Mbemba,DR Congo,Marseille
Cedric Bakambu,DR Congo,Besiktas
Meschack Elia,Uzbekistan,Wolfsberger AC
Jaloliddin Masharipov,Uzbekistan,PFC Nasaf
Eldor Shomurodov,Uzbekistan,Roma
Akram Afif,Qatar,Al Sadd
Almoez Ali,Qatar,Al Duhail
Boualem Khoukhi,Qatar,Al Sadd
Hassan Al-Haydos,Qatar,Al Sadd
Anibal Godoy,Panama,Nashville SC
Michael Murillo,Panama,Olympiacos
Andy Delort,Haiti,Al Sadd
Steeven Saba,Haiti,Valenciennes
Mousa Al-Taamari,Jordan,Apollon Limassol
Yaseen Al-Bakhit,Jordan,Al Wehdat
Baha Abdel-Rahman,Jordan,Al Faisaly
Musab Al-Khaldi,Jordan,Al Faisaly
Mohanad Ali,Iraq,Al Shorta
Amjad Attwan,Iraq,Al Shorta
Yousuf Abdulla,Iraq,Al Shorta
Chris Wood,New Zealand,Nottingham Forest
Michael Boxall,New Zealand,San Diego FC
Edin Dzeko,Bosnia and Herzegovina,Fenerbahce
Miralem Pjanic,Bosnia and Herzegovina,Besiktas
Sead Kolasinac,Bosnia and Herzegovina,Atletico Madrid
Andy Robertson,Scotland,Liverpool
Kieran Tierney,Scotland,Real Sociedad
John McGinn,Scotland,Aston Villa
Thomas Partey,Ghana,Arsenal
Mohammed Kudus,Ghana,West Ham
Inaki Williams,Ghana,Athletic Bilbao
Jordan Ayew,Ghana,Crystal Palace
Hakan Calhanoglu,Turkey,Inter Milan
Arda Guler,Turkey,Real Madrid
Cengiz Under,Turkey,Fenerbahce
Sebastien Haller,Ivory Coast,Borussia Dortmund
Franck Kessie,Ivory Coast,Al Ain
Nicolas Pepe,Ivory Coast,Trabzonspor
Ellyes Skhiri,Tunisia,Eintracht Frankfurt
Hannibal Mejbri,Tunisia,Manchester United
Wahbi Khazri,Tunisia,Montpellier
Leandro Bacuna,Curaçao,Cardiff City
Rangelo Janga,Curaçao,FC Twente
Elson Hooi,Curaçao,ADO Den Haag
Juriën Gaari,Curaçao,Almere City
Luis Suarez,Uruguay,Inter Miami
Darwin Nunez,Uruguay,Liverpool
Ronald Araujo,Uruguay,Barcelona
Mohamed Salah,Egypt,Liverpool
Omar Marmoush,Egypt,Manchester City
Trézéguet,Egypt,Aston Villa
Mostafa Mohamed,Egypt,Nantes
